address_id,ambience_id,noise_level_id,internet_quality_id,plug_availability_id,neighborhood_id,user_id
1,1,2,3,4,9,3
2,1,3,5,5,7,3
3,3,1,5,2,8,3
4,2,4,2,5,6,3
5,3,2,5,2,14,3
6,3,1,4,5,2,3
7,2,3,3,4,10,3
8,1,3,4,5,3,3
9,2,3,4,5,13,3
10,2,4,3,4,4,3
11,2,4,4,5,12,3
12,3,1,4,4,11,3
13,4,5,3,4,5,3
14,4,5,3,2,4,3
15,4,5,2,4,1,3
16,2,3,4,4,4,3
17,3,2,4,2,4,3
18,2,3,3,3,4,3
19,4,5,1,1,4,3
1,1,2,3,4,9,2
2,1,3,5,5,7,2
3,3,1,5,2,8,2
4,2,4,2,5,6,2
5,3,2,5,2,14,2
6,3,1,4,5,2,2
7,2,3,3,4,10,2
8,1,3,4,5,3,2
9,2,3,4,5,13,2
10,2,4,3,4,4,2
11,2,4,4,5,12,2
12,3,1,4,4,11,2
13,4,5,3,4,5,2
14,4,5,3,2,4,2
15,4,5,2,4,1,2
16,2,3,4,4,4,2
17,3,2,4,2,4,2
18,2,3,3,3,4,2
19,4,5,1,1,4,2
2,1,3,5,5,7,1
3,3,1,5,2,8,1
5,3,2,5,2,14,1
6,3,1,4,5,2,1
7,2,3,3,4,10,1
8,1,3,4,5,3,1
11,2,4,4,5,12,1
12,3,1,4,4,11,1
13,4,5,3,4,5,1
15,4,5,2,4,1,1
16,2,3,4,4,4,1
17,3,2,4,2,4,1
19,4,5,1,1,4,1
1,1,2,3,4,9,4
2,1,3,5,5,7,4
3,3,1,5,2,8,4
5,3,2,5,2,14,4
6,3,1,4,5,2,4
8,1,3,4,5,3,4
11,2,4,4,5,12,4
13,4,5,3,4,5,4
14,4,5,3,2,4,4
16,2,3,4,4,4,4
17,3,2,4,2,4,4
19,4,5,1,1,4,4
1,1,2,3,4,9,5
2,1,3,5,5,7,5
4,2,4,2,5,6,5
6,3,1,4,5,2,5
7,2,3,3,4,10,5
10,2,4,3,4,4,5
12,3,1,4,4,11,5
13,4,5,3,4,5,5
15,4,5,2,4,1,5
17,3,2,4,2,4,5
18,2,3,3,3,4,5
19,4,5,1,1,4,5
1,1,2,3,4,9,6
2,1,3,5,5,7,6
4,2,4,2,5,6,6
5,3,2,5,2,14,6
7,2,3,3,4,10,6
10,2,4,3,4,4,6
11,2,4,4,5,12,6
14,4,5,3,2,4,6
15,4,5,2,4,1,6
16,2,3,4,4,4,6
19,4,5,1,1,4,6
